make , model, minimum_year
Alfa Romeo,Giulietta,2009
Audi,A3,2008
Audi,A4,2008
Audi,A6,2008
Audi,A6 Avant,2008
BAIC,Huansu H3,2008
BAIC,M20,2008
BAIC,M60,2008
BAIC,Senova A1,2008
BAIC,Senova D50,2008
BAIC,Senova X25,2008
BAIC,Senova X35,2008
BAIC,Senova X65,2008
BAIC,X25,2008
BAIC,X35,2008
BMW,1_Series,2008
BMW,3_Series,2008
BMW,5_Series,2008
BMW,X1,2008
BMW,X3 ,2008
BMW,X4,2008
BMW,X5,2008
BMW,X6,2008
Brilliance,FRV,2008
Brilliance,FSV,2008
Brilliance,Galena,2008
Brilliance,H530,2008
Brilliance,S30,2008
Brilliance,Splendor,2008
Brilliance,V3,2008
Brilliance,V5,2008
Brilliance,V6 ,2008
BYD,G3R,2008
BYD,L3,2008
BYD,S5,2008
BYD,F3,2008
BYD,F5 Suri,2008
BYD,G3 ,2008
Changan,Alsvin,2010
Changan,Changhe Q35,2010
Changan,CS35,2010
Changan,V7,2010
Changan,Eado,2010
Chery,A3 ,2010
Chery,Arrizo5,2010
Chery,E5,2010
Chery,Envy,2010
Chery,Tiggo,2010
Chevrolet,Aveo,2008
Chevrolet,Captiva,2008
Chevrolet,Cruze,2008
Chevrolet,Equinox,2008
Chevrolet,Lanos,2010
Chevrolet,Optra,2008
Chevrolet,Sonic,2013
Chhange,M50,2010
Chrysler,PT Cruiser,2008
Chrysler,Pactifica,2008
Chrysler,Sebring,2008
Chrysler,Town and Country,2008
Citroen,Berlingo,2008
Citroen,C_Elysee,2008
Citroen,C3 Picasso,2008
Citroen,C4,2008
Citroen,C4 Picasso,2008
Citroen,C5,2008
Citroen,DS5,2008
Citroen,Elysee,2008
Citroen,Grand Picasso,2008
Daewoo,Lacetti,2008
Daihatsu,Materia,2008
Daihatsu,Terios,2008
Daihatsu,Sirion,2008
Decia,Duster,2008
Decia,Logan,2008
DFSK,580,2014
DFSK,Glory,2014
Dodge,Dart,2008
Dodge,Durango,2008
Dodge,Nitro,2008
FAW,Besturn B30,2010
FAW,Besturn B50,2010
FAW,Besturn X40,2010
FAW,N5,2010
FAW,Senya S80,2010
FAW,V5,2010
Fiat,500X,2008
Fiat,Bravo,2008
Fiat,Doblo,2008
Fiat,Grande Punto,2008
Fiat,Linea,2008
Fiat,Panda,2008
Fiat,Punto,2008
Fiat,Tipo,2008
Ford,B_Max,2008
Ford,C_Max,2008
Ford,Ecosport,2008
Ford,Fiesta,2008
Ford,Focus,2008
Ford,Fusion,2008
Ford,Kuga,2008
Ford,Mondeo,2008
Geely,Emgrand 7,2008
Glory,Dfsk,2015
Glory,Eagle 580,2015
Great wall,C 30,2008
Honda,Civic,2008
Honda,City,2008
Honda,HRV,2008
Hyundai,I20,2008
Hyundai,i30,2008
Hyundai,i35,2008
Hyundai,ix20,2008
Hyundai,ix35,2008
Hyundai,Verna,2012
Hyundai,Elantra,2008
Hyundai,H1,2008
Hyundai,Certa,2008
Hyundai,Tuscon,2008
Hyundai,I 10 grand,2008
Hyundai,I 20,2008
Hyundai,Elantra,2008
Hyundai,I35,2008
Hyundai,Solaris,2008
Hyundai,Sonata,2008
Hyundai,Accent,2008
Hyundai,Matrix,2008
Hyundai,Verna,2008
JAC Motors,B15 ,2010
JAC Motors,HFC,2010
JAC Motors,S2,2010
JAC Motors,S3,2010
JAC Motors,S5,2010
JAC Motors,S7,2010
JAC Motors,J4,2010
JAC Motors,J5,2010
JAC Motors,J6,2010
Jaguar,XF,2008
Jeep,Cherokee,2008
Jeep,Liberty,2008
Jeep,Renegade,2008
Jeep,Wrangler,2008
Jonway,A380,2010
Kenbo,H3,2008
Kenbo,S3,2008
Kia,Sorento,2008
Kia,Soul,2008
Kia,Spectra,2008
Kia,Sportage,2008
Kia,Cadenza,2008
Kia,Carens,2008
Kia,Carnival,2008
Kia,Cee_d,2008
Kia,Cee_d Sportswagon,2008
Kia,Cerato,2008
Kia,Forte,2008
Kia,K3,2010
Kia,Optima,2008
Kia,Pegas,2008
Kia,Rio,2008
Kia,Shuma,2008
Kia,Cerato,2008
Kia,Carens,2008
Lada,Granta,2014
Lifan,620,2010
Lifan,X50,2010
Luxgen,V7,2008
Mahindra,Scorpio,2009
Maruti Suzuki,Giza,2008
Maruti Suzuki,Grand Vitara,2008
Maruti Suzuki,SX4,2008
Maruti Suzuki,Swift Dzire,2008
Mazda,CX_9,2008
Mazda,MAZDA 2,2008
Mazda,MAZDA 3,2008
Mercedes_Benz,A_Class,2008
Mercedes_Benz,B_Class,2008
Mercedes_Benz,C_Class,2008
Mercedes_Benz,E_Class,2008
MG,350,2008
MG,360,2008
MG,750,2008
MG,MG3,2008
MG,MG5,2008
MG,MG7,2008
MG,RX5,2008
MG,ZS,2008
MG,6,2008
Mini,Countryman,2008
Mitsubishi,Attrage,2008
Mitsubishi,Eclipse,2008
Mitsubishi,Lancer,2008
Mitsubishi,Pajero,2008
Mitsubishi,Xpander,2008
Nissan,Bluebird,2008
Nissan,Juke,2008
Nissan,Livina,2008
Nissan,Pathfinder,2008
Nissan,Qashqai,2008
Nissan,Sentra,2008
Nissan,Sunny,2008
Nissan,Tida,2008
Nissan,Tilda,2008
Nissan,X_Trail,2008
Opel,Astra,2008
Opel,Corsa,2008
Opel,Crossland X,2008
Opel,Grandland X,2008
Opel,Insignia,2008
Opel,Meriva,2008
Opel,Mokka,2008
Opel,Vectra,2008
Peugeot,2008,2008
Peugeot,206,2010
Peugeot,3008,2008
Peugeot,301,2008
Peugeot,307,2008
Peugeot,308,2008
Peugeot,407,2008
Peugeot,408,2008
Peugeot,5008,2008
Peugeot,508,2008
Peugeot,Partner,2008
Proton,Exora,2008
Proton,Gen_2,2008
Proton,Persona,2008
Proton,Preve,2012
Proton,Saga,2008
Proton,Waja,2008
Renault,Captur,2008
Renault,Clio,2008
Renault,Duster,2008
Renault,Fluence,2008
Renault,Kadjar,2008
Renault,Laguna,2008
Renault,Lodgy,2008
Renault,Logan,2008
Renault,Megane,2008
Renault,Sandero,2008
Renault,Scala,2008
Renault,Scenic,2008
Renault,Stepway,2008
