arabic_name ,english_name
 اسوان,Aswan
 اسوان - البصيلية,Aswan - El Bosaileya
 اسوان - أبو سمبل,Aswan - Abu Simbel
 اسوان - أسوان الجديدة,Aswan - New Aswan
 اسوان - كلابشة,Aswan - Kalabshah
 اسوان - نصر النوبة,Aswan - Nasr an Nobah
 الاسماعيلية - التل الكبير,Ismailia - Tell El Kebir
 الاسماعيلية - القصاصين الجديدة,Ismailia - El-Kasasin
 الاسماعيلية - القنطرة شرق,Ismailia - El-Qantara el-Sharqiya
 الاسماعيلية - القنطرة غرب,Ismailia - El-Qantara el-Gharbiya
 الاقصر - الأقصر الجديدة,Luxor - New Luxor
 الاقصر - الزينية,Luxor - AZ Zayniyyah Qibli
 الاقصر - الطّود,Luxor - Al Toud City
 الاقصر - القرنة,Luxor - Al Qarnah
 الاقصر - طيبة الجديدة,Luxor - New Taiba
 الإسكندرية,Alexandria
 الإسكندرية - برج العرب,Alexandria - Borg Al-Arab
 الإسكندرية - برج العرب الجديدة,Alexandria - New Borg El-Arab
 الإسماعيلية,Ismailia
 البحر الأحمر - الغردقة,Red Sea - Hurghada
 البحر الأحمر - القصير,Red Sea - Quseer
 البحر الأحمر - رأس غارب,Red Sea - Ras Ghareb
 البحر الأحمر - سفاجا,Red Sea - Safaga
 البحيرة - الدلنجات,El Beheira - Ad Dilinjat
 البحيرة - المحمودية,El Beheira - El-Mahmoudeya
 البحيرة - إدكو,El Beheira - Idku
 البحيرة - أبو المطامير,El Beheira - Abu Al Matamir
 البحيرة - أبو حمص,El Beheira - Abu Hummus
 البحيرة - دمنهور,El Beheira - Damanhour
 البحيرة - رشيد,El Beheira - Rasheed
 البحيرة - كفر الدوار,El Beheira - Kafr El-Dawar
 الجيزة,Giza
 الجيزة - الباويطي,Giza - Bawiti
 الجيزة - البدرشين,Giza - Al Badrashin
 الجيزة - الحوامدية,Giza - El-Hawamdeyya
 الجيزة - السادس من أكتوبر,Giza - 6th of October City
 الجيزة - الشيخ زايد,Giza - Sheikh Zayed City
 الجيزة - الصف,Giza - El-Saf
 الجيزة - العيّاط,Giza - Al Ayyat
 الجيزة - أبو النمرس,Giza - Abu an Numros
 الجيزة - أطفيح,Giza - Atfih
 الجيزة - أوسيم,Giza - Ausim
 الجيزة - كرادسة,Giza - Kirdasah
 الجيزة - منشأة القناطر,Giza - Monsha'et El Kanater
 الدقهلية - الجمالية,Dakahlia - Al Jamaliyah
 الدقهلية - الكردي,Dakahlia - El-Kordy
 الدقهلية - المنزلة,Dakahlia - Al Manzalah
 الدقهلية - المنصورة,Dakahlia - Mansoura
 الدقهلية - أجا,Dakahlia - Aga
 الدقهلية - بلقاس,Dakahlia - Belkas
 الدقهلية - بني عبيد,Dakahlia - Bani Ebeid
 الدقهلية - دكنرس,Dakahlia - Dikirnis
 الدقهلية - شربين,Dakahlia - Shirbin
 الدقهلية - طلخا,Dakahlia - Talkha
 الدقهلية - منية النصر,Dakahlia - Menyet El-Nasr
 السويس,Suez
 الشرقية - الزقازيق,Sharqia - Zagazig
 الشرقية - العاشر من رمضان,Sharqia - 10th of Ramadan City
 الشرقية - القنايات,Sharqia - Al Qanayat
 الشرقية - أبو حماد,Sharqia - Abou Hammad
 الشرقية - أبو كبير,Sharqia - Abu Kibir
 الشرقية - فاقوس,Sharqia - Faqus
 الشرقية - منيا القمح,Sharqia - Minya Al Qamh
 الغربية - السنطة,Gharbia - As Santah
 الغربية - المحلة الكبرى,Gharbia - El-Mahalla El-Kubra
 الغربية - سمنود,Gharbia - Samannoud
 الغربية - طنطا,Gharbia - Tanta
 الغربية - قطور,Gharbia - Qutur
 الغربية - كفر الزيات,Gharbia - Kafr El-Zayat
 الفيوم - الفيوم الجديدة,Faiyum - New Faiyum
 الفيوم - إطسا,Faiyum - ITSA
 الفيوم - سنورس,Faiyum - Sinnuris
 الفيوم - طامية,Faiyum - Tamiyyah
 الفيوم - يوسف الصديق,Faiyum - Youssef El Seddik
 القاهرة,Cairo
 القليوبية - الخوص,Qalyubia - Al Khosous
 القليوبية - العبور,Qalyubia - El Obour
 القليوبية - القناطر الخيرية,Qalyubia - Al Qanatir Al Khayriyyah
 القليوبية - بنها,Qalyubia - Banha
 القليوبية - خانكة,Qalyubia - Al Khankah
 القليوبية - شبرا الخيمة,Qalyubia - Shubra Al Khaymah
 القليوبية - طوخ,Qalyubia - Toukh
 القليوبية - قليوب,Qalyubia - Qalyub
 القليوبية - قها,Qalyubia - Qaha
 القليوبية - كفر شكر,Qalyubia - Kafr Shokr
 المنوفية - الباجور,Monufia - El-Bagour
 المنوفية - السادات,Monufia - El Sadat City
 المنوفية - الشهداء,Monufia - Shibin Al Kawm
 المنوفية - أشمون,Monufia - Ashmun
 المنوفية - بركة السبع,Monufia - Birket el Saba
 المنوفية - تلا,Monufia - Tala
 المنوفية - منوف,Monufia - Minuf
 المنيا - العدوة,Minya - Al Idwah
 المنيا - المنيا الجديدة,Minya - New Minya City
