english_name,arabic_name 
Aswan, اسوان
Aswan - El Bosaileya, اسوان - البصيلية
Aswan - Abu Simbel, اسوان - أبو سمبل
Aswan - New Aswan, اسوان - أسوان الجديدة
Aswan - Kalabshah, اسوان - كلابشة
Aswan - Nasr an Nobah, اسوان - نصر النوبة
Ismailia - Tell El Kebir, الاسماعيلية - التل الكبير
Ismailia - El-Kasasin, الاسماعيلية - القصاصين الجديدة
Ismailia - El-Qantara el-Sharqiya, الاسماعيلية - القنطرة شرق
Ismailia - El-Qantara el-Gharbiya, الاسماعيلية - القنطرة غرب
Luxor - New Luxor, الاقصر - الأقصر الجديدة
Luxor - AZ Zayniyyah Qibli, الاقصر - الزينية
Luxor - Al Toud City, الاقصر - الطّود
Luxor - Al Qarnah, الاقصر - القرنة
Luxor - New Taiba, الاقصر - طيبة الجديدة
Alexandria, الإسكندرية
Alexandria - Borg Al-Arab, الإسكندرية - برج العرب
Alexandria - New Borg El-Arab, الإسكندرية - برج العرب الجديدة
Ismailia, الإسماعيلية
Red Sea - Hurghada, البحر الأحمر - الغردقة
Red Sea - Quseer, البحر الأحمر - القصير
Red Sea - Ras Ghareb, البحر الأحمر - رأس غارب
Red Sea - Safaga, البحر الأحمر - سفاجا
El Beheira - Ad Dilinjat, البحيرة - الدلنجات
El Beheira - El-Mahmoudeya, البحيرة - المحمودية
El Beheira - Idku, البحيرة - إدكو
El Beheira - Abu Al Matamir, البحيرة - أبو المطامير
El Beheira - Abu Hummus, البحيرة - أبو حمص
El Beheira - Damanhour, البحيرة - دمنهور
El Beheira - Rasheed, البحيرة - رشيد
El Beheira - Kafr El-Dawar, البحيرة - كفر الدوار
Giza, الجيزة
Giza - Bawiti, الجيزة - الباويطي
Giza - Al Badrashin, الجيزة - البدرشين
Giza - El-Hawamdeyya, الجيزة - الحوامدية
Giza - 6th of October City, الجيزة - السادس من أكتوبر
Giza - Sheikh Zayed City, الجيزة - الشيخ زايد
Giza - El-Saf, الجيزة - الصف
Giza - Al Ayyat, الجيزة - العيّاط
Giza - Abu an Numros, الجيزة - أبو النمرس
Giza - Atfih, الجيزة - أطفيح
Giza - Ausim, الجيزة - أوسيم
Giza - Kirdasah, الجيزة - كرادسة
Giza - Monsha'et El Kanater, الجيزة - منشأة القناطر
Dakahlia - Al Jamaliyah, الدقهلية - الجمالية
Dakahlia - El-Kordy, الدقهلية - الكردي
Dakahlia - Al Manzalah, الدقهلية - المنزلة
Dakahlia - Mansoura, الدقهلية - المنصورة
Dakahlia - Aga, الدقهلية - أجا
Dakahlia - Belkas, الدقهلية - بلقاس
Dakahlia - Bani Ebeid, الدقهلية - بني عبيد
Dakahlia - Dikirnis, الدقهلية - دكنرس
Dakahlia - Shirbin, الدقهلية - شربين
Dakahlia - Talkha, الدقهلية - طلخا
Dakahlia - Menyet El-Nasr, الدقهلية - منية النصر
Suez, السويس
Sharqia - Zagazig, الشرقية - الزقازيق
Sharqia - 10th of Ramadan City, الشرقية - العاشر من رمضان
Sharqia - Al Qanayat, الشرقية - القنايات
Sharqia - Abou Hammad, الشرقية - أبو حماد
Sharqia - Abu Kibir, الشرقية - أبو كبير
Sharqia - Faqus, الشرقية - فاقوس
Sharqia - Minya Al Qamh, الشرقية - منيا القمح
Gharbia - As Santah, الغربية - السنطة
Gharbia - El-Mahalla El-Kubra, الغربية - المحلة الكبرى
Gharbia - Samannoud, الغربية - سمنود
Gharbia - Tanta, الغربية - طنطا
Gharbia - Qutur, الغربية - قطور
Gharbia - Kafr El-Zayat, الغربية - كفر الزيات
Faiyum - New Faiyum, الفيوم - الفيوم الجديدة
Faiyum - ITSA, الفيوم - إطسا
Faiyum - Sinnuris, الفيوم - سنورس
Faiyum - Tamiyyah, الفيوم - طامية
Faiyum - Youssef El Seddik, الفيوم - يوسف الصديق
Cairo, القاهرة
Qalyubia - Al Khosous, القليوبية - الخوص
Qalyubia - El Obour, القليوبية - العبور
