duration,price,to_city,from_city
3 h. 30 min.,550-700,Alexandria - الأسكندريه,Cairo - القاهره
3 h. 15 min.,600-750,Damietta - دمياط,Cairo - القاهره
2 h. 40 min.,350-450,Mansoura - المنصوره,Cairo - القاهره
1 h. 42 min.,250-350,Zagazig - الزقازيق,Cairo - القاهره
6 h. 05 min.,1000-1300,Asyut - أسيوط,Cairo - القاهره
2 h. 09 min.,250-350,Fayoum - الفيوم,Cairo - القاهره
1 h. 43 min.,300-400,Ismailia - الإسماعيليه,Cairo - القاهره
4 h. 30 min,700-900,Minya - المنيا,Cairo - القاهره
6 h. 00 min.,1200-1400,Hurghada - الغردقه,Cairo - القاهره
6 h. 00 min.,1300-1500,Sharm El-Shaikh - شرم الشيخ,Cairo - القاهره
3 h. 00 min.,400-500,Ain Sokhna - العين السخنه,Cairo - القاهره
1 h. 58 min.,200-300,Shbeen El Koom - شبين الكوم,Cairo - القاهره
2 h. 50 min.,500-650,Port Said - بورسعيد,Cairo - القاهره
2 h. 40 min.,400-550,Damanhur - دمنهور,Cairo - القاهره
2 h. 15 min.,250-350,Tanta - طنطا,Cairo - القاهره
8 h. 15 min.,1350-1600,Sohag - سوهاج,Cairo - القاهره
6 h. 25 min.,1200-1450,Marsa Matrouh - مطروح,Cairo - القاهره
4 h. 30 min,700-900,Marina (El Alamein) - مارينا العلمين,Cairo - القاهره
4 h. 50 min.,800-1000,Sidi Abdul Rahman - سيدي عبدالرحمن,Cairo - القاهره
2 h. 35 min.,350-450,Kafr El-Sheikh - كفر الشيخ,Cairo - القاهره
1 h. 10 min.,200-300,Damanhur - دمنهور,Alexandria - الأسكندريه
4 h. 15 min.,700-900,Marsa Matrouh - مطروح,Alexandria - الأسكندريه
2 h. 40 min.,450-550,Banha - بنها,Alexandria - الأسكندريه
3 h. 30 min.,600-750,Mansoura - المنصوره,Alexandria - الأسكندريه
2 h. 15 min.,350-450,Tanta - طنطا,Alexandria - الأسكندريه
3 h. 21 min.,750-800,Port Said - بورسعيد,Alexandria - الأسكندريه
2 h. 30 min.,350-450,Kafr El-Sheikh - كفر الشيخ,Alexandria - الأسكندريه
3 h. 30 min.,550-700,Cairo - القاهره,Alexandria - الأسكندريه
3 h. 15 min.,600-750,Cairo - القاهره,Damietta - دمياط
2 h. 40 min.,350-450,Cairo - القاهره,Mansoura - المنصوره
1 h. 42 min.,250-350,Cairo - القاهره,Zagazig - الزقازيق
6 h. 05 min.,1000-1300,Cairo - القاهره,Asyut - أسيوط
2 h. 09 min.,250-350,Cairo - القاهره,Fayoum - الفيوم
1 h. 43 min.,300-400,Cairo - القاهره,Ismailia - الإسماعيليه
4 h. 30 min,700-900,Cairo - القاهره,Minya - المنيا
6 h. 00 min.,1200-1400,Cairo - القاهره,Hurghada - الغردقه
6 h. 00 min.,1300-1500,Cairo - القاهره,Sharm El-Shaikh - شرم الشيخ
3 h. 00 min.,400-500,Cairo - القاهره,Ain Sokhna - العين السخنه
1 h. 58 min.,200-300,Cairo - القاهره,Shbeen El Koom - شبين الكوم
2 h. 50 min.,500-650,Cairo - القاهره,Port Said - بورسعيد
2 h. 40 min.,400-550,Cairo - القاهره,Damanhur - دمنهور
2 h. 15 min.,250-350,Cairo - القاهره,Tanta - طنطا
8 h. 15 min.,1350-1600,Cairo - القاهره,Sohag - سوهاج
6 h. 25 min.,1200-1450,Cairo - القاهره,Marsa Matrouh - مطروح
4 h. 30 min,700-900,Cairo - القاهره,Marina (El Alamein) - مارينا العلمين
4 h. 50 min.,800-1000,Cairo - القاهره,Sidi Abdul Rahman - سيدي عبدالرحمن
2 h. 35 min.,350-450,Cairo - القاهره,Kafr El-Sheikh - كفر الشيخ
1 h. 10 min.,200-300,Alexandria - الأسكندريه,Damanhur - دمنهور
4 h. 15 min.,700-900,Alexandria - الأسكندريه,Marsa Matrouh - مطروح
2 h. 40 min.,450-550,Alexandria - الأسكندريه,Banha - بنها
3 h. 30 min.,600-750,Alexandria - الأسكندريه,Mansoura - المنصوره
2 h. 15 min.,350-450,Alexandria - الأسكندريه,Tanta - طنطا
3 h. 21 min.,650-800,Alexandria - الأسكندريه,Port Said - بورسعيد
2 h. 30 min.,350-450,Alexandria - الأسكندريه,Kafr El-Sheikh - كفر الشيخ
